City_ID,City,Humidity,Cloudiness,Country,Date,Lat,Lng,Max Temp,Wind
281,Sandpoint,25,0,US,1690244730,48.2766,-116.5533,304.5,5.14
282,Ilovlya,67,55,RU,1690244755,49.3033,43.9796,292.89,1.63
283,Yarrawonga,77,5,AU,1690244755,-36.0167,146.0,282.36,2.19
284,Santa Cruz de la Sierra,83,75,BO,1690244688,-17.8,-63.1667,296.85,1.03
285,Iwŏn-ŭp,68,6,KP,1690244755,40.3231,128.6553,299.8,1.59
286,Sortavala,97,100,RU,1690244756,61.7053,30.6918,285.49,1.74
287,Midelt,36,55,MA,1690244756,32.6852,-4.7451,298.48,3.99
288,Barcelos,93,16,PT,1690244756,41.5388,-8.6151,289.77,2.4
289,Termoli,34,5,IT,1690244756,41.9888,14.9895,303.67,8.35
290,Touros,81,13,BR,1690244457,-5.1989,-35.4608,297.6,6.34
291,Bangassou,98,95,CF,1690244757,4.7413,22.8184,294.1,0.17
292,Lyangasovo,95,24,RU,1690244757,58.5176,49.4472,284.18,2.67
293,Luanda,88,75,AO,1690244603,-8.8368,13.2343,293.15,1.54
294,Andergrove,83,68,AU,1690244757,-21.0833,149.1833,292.95,9.23
295,Marabu,83,20,MY,1690244757,4.4148,114.0089,300.23,1.54
296,Tura,94,100,IN,1690244758,25.5198,90.2201,297.17,1.7
297,Brookings,50,0,US,1690244758,44.3114,-96.7984,304.36,5.14
298,Tallahassee,92,40,US,1690244758,30.4383,-84.2807,299.06,2.06
299,Saint Croix,89,20,VI,1690244758,17.7397,-64.7388,300.4,4.12
300,Mili,77,82,MH,1690244758,6.0815,171.735,301.57,5.31
301,Bodø,94,100,NO,1690244759,67.28,14.405,287.47,2.57
302,Isla Mujeres,80,51,MX,1690244759,21.2311,-86.731,304.18,3.79
303,Olyokminsk,48,4,RU,1690244759,60.3736,120.4264,300.75,0.92
304,Cologne,86,100,DE,1690244516,50.9333,6.95,289.28,2.06
305,Zhosaly,23,4,KZ,1690244760,45.4878,64.0781,303.51,3.11
306,Hūn,22,0,LY,1690244760,29.1268,15.9477,304.69,1.66
307,Mehekar,91,100,IN,1690244760,20.15,76.5667,296.42,4.67
308,Thompson,44,75,CA,1690244760,55.7435,-97.8558,298.24,2.06
309,Arteche,79,100,PH,1690244761,12.2645,125.4048,300.27,6.99
310,Kismayo,78,70,SO,1690244761,-0.3582,42.5454,297.77,8.02
311,As Sulayyil,10,88,SA,1690244761,20.4607,45.5779,304.29,1.94
312,Vega de Alatorre,83,100,MX,1690244761,20.0333,-96.6333,298.97,1.8
313,Taroa,79,75,MH,1690244761,8.7058,171.2275,301.76,6.98
314,Pingliang,62,2,CN,1690244762,35.5392,106.6861,296.38,1.56
315,Crane,16,0,US,1690244762,31.3974,-102.3501,310.54,6.22
316,Agat Village,86,40,GU,1690244762,13.3886,144.6585,303.91,5.66
317,Celestún,72,66,MX,1690244763,20.8667,-90.4,302.66,8.36
318,Enewetak,80,75,MH,1690244763,11.3474,162.3373,301.72,7.72
319,Rouyn-Noranda,77,75,CA,1690244763,48.2398,-79.0288,293.2,2.57
320,Marang,86,100,MY,1690244764,5.2056,103.2059,299.1,1.46
321,Katsuura,75,11,JP,1690244764,35.1333,140.3,300.69,3.23
322,Vila Franca do Campo,90,49,PT,1690244764,37.7167,-25.4333,294.38,2.06
323,La Huerta,85,93,MX,1690244764,19.4667,-104.65,299.42,0.88
324,Conde,88,20,BR,1690244574,-7.2597,-34.9075,295.85,3.09
325,Penalva,72,23,BR,1690244765,-3.2942,-45.1736,297.75,0.61
326,Buala,79,45,SB,1690244765,-8.145,159.5921,301.13,3.8
327,Najrān,30,100,SA,1690244765,17.4924,44.1277,302.51,2.59
328,Sohar,79,100,OM,1690244766,24.3643,56.7468,306.16,2.57
329,Margate,79,100,GB,1690244766,51.3813,1.3862,288.54,2.68
330,Jumla,96,99,NP,1690244766,29.2747,82.1838,290.24,0.36
331,Senanga,33,68,ZM,1690244766,-16.1167,23.2667,286.11,2.55
332,Kavaratti,77,100,IN,1690244767,10.5669,72.642,301.37,8.0
333,Pisco,73,0,PE,1690244767,-13.7,-76.2167,293.18,7.72
334,Yetkul',61,74,RU,1690244767,54.8221,61.588,290.28,2.14
335,Juba,83,81,SS,1690244767,4.8517,31.5825,294.93,0.82
336,Kumul,24,0,CN,1690244767,42.8,93.45,301.06,3.81
337,Kołobrzeg,88,88,PL,1690244768,54.1757,15.5834,291.57,6.44
338,Malango,91,75,ID,1690244768,-2.9627,119.9001,293.74,0.22
339,Ubari,17,0,LY,1690244768,26.5921,12.7805,305.21,3.35
340,Nadi,69,75,FJ,1690244769,-17.8,177.4167,300.15,3.6
341,El Nido,88,100,PH,1690244769,11.1858,119.3956,299.95,11.67
342,Zeya,90,100,RU,1690244769,53.75,127.2667,291.67,0.73
